Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1060699,-,-,-,25.77,-80.18,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2018,1,1,0,0,0,0,0,0,0,0,0,15.3,173.84,0,0.08,1.1,2.9000000000000004,31,69.7,21.1,1018,0.0000,0.0000,N/A
2018,1,1,0,30,0,0,0,0,0,0,0,15.3,176.94,0,0.08,1.1,2.9000000000000004,35,69.7,21.1,1018,0.0000,0.0000,N/A
2018,1,1,1,0,0,0,0,0,0,0,0,15.3,171.4,0,0.08,1.1,2.9000000000000004,38,70.12,21,1018,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,0,15.3,164.78,0,0.08,1,2.9000000000000004,54,70.12,21,1018,0.0000,0.0000,N/A
2018,1,1,2,0,0,0,0,0,0,0,0,15.3,158.05,0,0.08,1,2.9000000000000004,71,70.06,21,1018,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,0,15.3,151.3,0,0.08,0.9,2.9000000000000004,92,69.99,21,1017,0.0000,0.0000,N/A
2018,1,1,3,0,0,0,0,0,0,0,0,15.3,144.55,0,0.08,0.8,2.9000000000000004,114,70.49,20.900000000000002,1017,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,0,15.3,137.83,0,0.08,0.8,2.9000000000000004,146,70.49,20.900000000000002,1017,0.0000,0.0000,N/A
2018,1,1,4,0,0,0,0,0,0,0,0,15.4,131.14000000000001,0,0.08,0.8,2.9000000000000004,178,71.03,20.8,1017,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,0,15.4,124.49000000000001,0,0.08,0.9,2.9000000000000004,190,71.10000000000001,20.8,1018,0.0000,0.0000,N/A
